,reviews,date,rating
10,"A huge german restaurant with a beautiful ceiling and wall mural art, live traditional music and huge family style tables. Unfortunately, I came here on a Saturday around 8pm and it was so packed it took about 30 minutes for my party of 6 to split up to hunt down a table. Once we did it took another 30 minutes to forceably get a servers attention to get us menus. It was like another 15 minutes to get our orders taken and an additional 45 minutes to an hour to get our food. Yup, that bad. Thankfully my party was super easy going and able to keep ourselves entertained. The pros is that the restaurant has a man walking around selling pretzels so we definitely got some to hold us up with all the waiting around for menus and our ordered food. The pretzel was good but would be much better with mustard. Good luck getting that. That took us about 20 minutes to ask a server for that after we got our pretzels. Our pretzel was almost completely devoured by then. Besides the pretzels, the food we ordered was tasty. I ordered the roast chicken, potatoes and pickled red cabbage - it was good.","Jan 1, 2024",3.0
11,Our group of 10 was able to sit upstairs where it's a bit more conducive to conversation. The beers flow nice and service is quick. Had the roast pork and crackling in a dark beer gravy which was more like a broth. Switched out the potato dumpling for spaetzle. Hubby had the pike perch. HB is somewhere every visitor should experience.,"Apr 10, 2024",3.0
12,"We got off our train in Munich, and my husband dragged us to Hofbrauhaus - which turned out to be his mothership. I saw a genuine smile on him for the first time in two weeks. It was an upbeat place that was beautiful inside. It's huge! We sat inside just a couple of tables from the polka band, and it was really fun. I can imagine this place could get super loud when packed, but it wasn't bad when we were right when they opened at 11 am. He had a couple of beers and discovered beer fills him up much faster than when he was 23. He wished he'd tried a few smaller beers rather than go for one big one that immediately filled him up. Our daughter had the strawberries and cream, which I'm sure was good, but I can't vouch for it since she wouldn't let me get a forkful. And while the radish/chive/bread sounds rather dull, I loved it. Dense bread with a white creamy butter and chives was tastier than you might guess. I also love all the radish dishes in this country; they don't have the spicy flavor we are used to in the States. Of course, we also had pretzels, which are harder and crunchier than a Wetzel's Pretzel of the same size. Try both mustards that come with it, I thought the sweet one was flavorful even though I'm usually picky about mustards.","Jun 10, 2024",5.0
13,"We were so excited to eat at the infamous Hofbrauhaus! We made a reservation, and got a nice little table on the 2nd floor. They had live music! Every part of the experience was great. It's a must-see spot for great food and even better beer. The first floor is the traditional open seating style, so it was fun to see it busy and loud! Great gift shop too.","Mar 21, 2024",4.0
14,"If you're looking to feel like you're at Oktoberfest when you either A) don't want to go to Oktoberfest or B) aren't in Munich during Oktoberfest, this is probably your best bet. This location is huge and there is seating on multiple levels. We stuck to the first floor because we liked the vibe, but it's not for everyone. Apparently you can find quieter tables upstairs, but just go in knowing that it will probably be crowded and energetic on the first floor.After you find a spot, you wait for a server to come by to take your meal order. If you'd like a pretzel or a cookie, you call over one of the people walking around with them and pay them cash. As a foreigner to Germany, I felt the food was decent. Someone from Germany might feel this is likened to Applebee's or something, but I didn't take issue with any of the dishes. We ordered a pretzel, a half chicken, the sausage plate, and the Spätzle. While the Spätzle and sausages were okay, the chicken was really tasty and I enjoyed this the most. It was so tender and not dry whatsoever, and although it wasn't heavily seasoned, it was well-cooked. The pretzel was also fine, but you can definitely get a better one elsewhere. We started off the trip slow with half-liters of beer here, but like many places in Munich, you have the option of a half or a whole liter. A band plays somewhere near the middle of the room, so pay attention to where you sit if you don't like loud sounds near your head.","Oct 22, 2023",4.0
15,"Hofbräuhaus in Munich, Germany, is a quintessential Bavarian experience that transports you to the heart of traditional German hospitality - it left me with a hearty dose of good food, lively vibes, and an overall positive impression.The star of the show was undoubtedly the roast pork with crackling, a dish that captured the essence of Bavarian culinary excellence. The pork was succulent, and the crackling added a delightful crunch that elevated the experience. Paired with authentic German potato dumpling, it was a comforting and satisfying dish that showcased the rich flavors of Bavarian cuisine.The addition of a bread basket was a pleasant touch, offering an assortment of freshly baked bread that complemented the hearty main course. Additionally, indulging in a pretzel from a roving vendor added an element of fun to the dining experience. The pretzel, with its golden crust and soft interior, was the perfect accompaniment to the lively atmosphere.Speaking of atmosphere, the lively ambiance at Hofbräuhaus is truly something to be celebrated. Live music echoed through the halls, creating a festive atmosphere that beckoned guests to join in the merriment. The communal seating and convivial spirit of the place make it an ideal spot for socializing and immersing oneself in Bavarian culture.The service, while friendly, was a bit on the slower side, and securing a table can be a challenge during peak hours. However, these are minor considerations given the overall charm of the establishment.In conclusion, Hofbräuhaus is a must-visit for those seeking an authentic Bavarian dining experience in Munich. The flavors, atmosphere, and cultural immersion make it a memorable destination - recommend it to anyone looking for a lively taste of traditional German hospitality. Prost!","Dec 23, 2023",4.0
16,"The beers are refreshing here, full to the brim and in tall, iced glasses. Ordered the HB Bavarian platter with a bread basket and it was enough for lunch. The tables are communal style so you just walk in and sit where you want. The service was a bit slow since they seemed short staffed and were rushing around tables. The entertainment at lunchtime was moderate and muted. The Las Vegas Haufbrahaus was more lively with its passionate band, various beer contests, getting the crowd to sing beer songs, a woman selling shots and spankings, and variety of entertainment acts every week.","Mar 16, 2024",3.0
17,"Obviously a must go on everyone's Munich itinerary. Huge beer hall with tons of seating. If it happens to be busy you just look around and find a spot at any table. Servers are good and will find you. They take both cash and credit. Went during Oktoberfest time, so was likely more busy then usual. Found a spot right away. Ordered kasespatzle and it was very good. Beer was good. Very lively environment inside with live music. They also have a beer garden. Few different gift shops within the place with all the merch you could want from a beer hall. This place has lots of history and was involved in a lot of historical events. Would be nice to read a little on the history before you go.","Oct 15, 2023",5.0
18,"I can't speak for the food, because I was here to drink during Oktoberfest. However, a lot of people around me were eating and the food looked fantastic! But, can you really go wrong with meat and potatoes? According to my Polish friend, who has been to Oktoberfest more times than he can count, this is his very favorite place to have beers in the city. I didn't have anything to compare it to, but I was very impressed at how good the service was, considering how packed it was the night we were there. Beers came immediatley. After a long day of flying in from the west coast of the states and walking 10 blocks from our hotel - this place and the giant beers hit the spot.","Nov 29, 2023",5.0
19,"The hype is real and it sure lives up to it. If you're from the States like me don't think you'll get the table service your used to. This place is so darn busy these servers ain't got time for the jaw jackin or typical niceties you're used to. I respect that and you should too dude/dudet! The beer is amazing here. Just think for a second on why they've been here for so long, but don't think too much because you'll miss the server coming by and you'll need to flag em down and order. Also be sure to order some roast chicken. It's like a rotisserie chicken but 10x better. It'll soak up all the alcohol. Not sure if it's just because I came here for Oktoberfest but they had a live band playing your traditional Bavarian bangers. Puts the vibe all together for one great Beer hall experience. Hoping to come back next year and find the kind strange gentleman who shared our table with a warm pretzel and a smile.","Sep 21, 2023",5.0
20,"If you come to Munich, and you like beer, then this is a ""must stop"", simply for the history, if not the atmosphere.In spite of what some may opine, their beer is very good by most any standard, but among regional German breweries they face very stiff competition.The beer hall is loud and touristy, but if you're reading this, you are likely a tourist. So go enjoy yourself. As for comments on cash only, they took my card this afternoon, no problem. Enjoy. Cheers!RS","Sep 18, 2023",3.0
21,"Had to check out a Munich staple. I was told this place had been around since the 1400's. You can do tours of the old brewery if you book in advance. The location is extremely neat and spacious. Great for groups, although the service is relatively spotty. It can take some time to get served. I highly recommend you stop by for a beer at least, because the venue is beautiful and very unique. It's like stepping back in the past!","Jan 11, 2024",4.0
22,"Hofbräuhaus MunichAll of God's Children visit Hofbräuhaus Munich.We have arranged for 4 visits over the years.Are you aware of Hitler Connection?Hofbräuhaus is located is in the heart of Munich's old town in Marienplatz, it also hosts the second-largest beer tent at Oktoberfest.Caveat: we recommend that one does not visit Munich and Hofbräuhaus during Octoberfest.Fortunately, many Americans have enjoyed the festivities of Octoberfest, and it is with pleasure and purpose that we visit the several US Hofbräuhaus.We first visited Munich and Hofbräuhaus in 1970's and greatly enjoyed and for years have driven to Waterloo Ontario for world's second largest Octoberfest.Hofbräuhaus provides an older Bavarian experience which many urban Germans do Not identify.What are three of the biggest beer tents at Oktoberfest?Overview of the big tents * Oktoberfest.de - The Official ...The large tents at Oktoberfest    Augustiner Festhalle. Beer from wooden barrels, own butcher's shop. ...    Armbrustschützenzelt. The name says it all - the crossbow tradition lives here. ...    Festzelt Tradition. Celebrate in the Tradition festival tent on the Oide Wiesn. ...    Fischer-Vroni. ...    Hacker-Festzelt.","Sep 2, 2023",4.0
23,it's a must do when visiting Munich! no reservations are needed when in smaller groups and they do accept credit cards. The giant pretzel was fantastic and you get that from the girls that come around the tables. Now for those westerners you'll have to understand and be patient when ordering unlike in America people take their time here so enjoy the atmosphere. They are pretty good at getting your beer order in. Keep in mind that this is a communal table so you could be sitting with other people so enjoy and make friends. Have a great beer and enjoy the live music.,"Dec 3, 2023",5.0
24,"Everyone says, ""You have to go to this place!"" And they're right.This is the largest indoor pub in the world (might not technically be true, but it's huge : )I'm going to give you a very simple review and you can look at my pictures.--the ambiance (5+/5) is out of this world! Long tables, seating as many as a dozen (or more), people cheering, the umpa band playing. So much fun.--the service (4/5) is not bad, considering the mass quantities of people.--the food (2/5). Don't go for the food. I had the veal sausage (2/5), a pretzel (2/5), and apple streusel (3/5).--the beer (4/5) was good. I had a rattler (lemon beer) for the first time and enjoyed it.Highly recommended!","Jul 7, 2023",4.0
25,"It was very busy and hard to find a table. When we finally did, the Servers were arguing about which of them could take us on. It was uncomfortable. The food was not worth the money, it tasted cheap and was not authentic.I am sorry to give this a low-rating, but that's just how I experienced it the two times I went there. Would not recommend.","Jan 1, 2024",1.0
26,"If you're searching for a spot that serves genuine German food with a lively atmosphere and excellent service, look no further than Hofbräuhaus. It's definitely a must-visit for anyone wanting to indulge in a slice of Bavaria right here in town. Make sure to try the schnitzel when you visit--you won't be disappointed!","Apr 24, 2024",5.0
27,"Food 4Service 2Ambiance 5This was so much fun!I finally understood why our beer halls in Milwaukee are the way they are lol. We were there on Wednesday night, and the place was packed to the brim full. You have to find your own seating, and feel free to sit next to other people, since all tables are shared. Getting a table is like war though. not knowing the rules, it took us a while to find out that we had to find our own seats, but after literally standing in front of a server to ask for help, we were told to seat anywhere. After that it was a matter of finding people who were leaving, which we did, but just as we were seating down after a party got up, this one server came barreling down and yelled at us not to sit there. And then, he waved over 4 girls and told them to sit down before us. What's up with selectively finding seats for some customers (coincidentally, all 4 of them looking single in their 20's)?Being swept up in the whole atmosphere, we let that go and just sat down next to the girls. Our table was big enough to sit 8. Being in Germany, I'm wary of making this joke from Frasier, but, have you heard of soup Nazi? Well, our server was a beer Nazi. He refused to serve beers smaller than a liter per person. We were totally fine with that lol, but the 4 girls beside us were all flabbergasted (though still dutifully ordered their 4 liter beers, and then drank maybe about a quarter of each cup before leaving). Our server also acted like he spoke no English, and kept saying something about why he can't bring us smaller beers in German. But when the time came for us to pay our bill, his English improved significantly, started asking us small questions like where we were from all of a sudden, smiled, and told us that tip wasn't included in the bill. And then stay and watch you as you make the payment. The menu says a pretzel is 1.9euros, but they don't sell it. You have to buy it separately from the ""bread girl/guy"" who comes around with the pretzels in a basket. And they charge 4.2euros. They will also rob you of your change, so count your coins. Or not. Just be a tourist and enjoy the moment and let them have their fun. We walked in knowing it was a tourist trap, as did the 1,000 (or 2) other patrons inside, but it was still all fun and games. The food was actually quite good, the live music was fun, and the atmosphere was bustling with energy. You gotta go at least once!Oh, the food:pretzel - good. But I can proudly say, that the pretzels at beer gardens here in Milwaukee actually top theirs!obazda (cheese spread for the pretzel) - good. Again, Milwaukee, though...four pieces of pork sausage - good, but we had better sausage at every other corner in Germany. Including Norma's. Sauerkraut was delicious! I never liked sauerkraut much, until this visit to Germany. Roasted knuckle of pork - I had this 3 times in Germany, and this one was comparable to the other 2 places. I learned that I love this dish. Beef goulash - it was like tomato soup with huge chunks of steak inside. Overall, I wouldn't go here for a gourmet meal, but for the energy and the pure experience. It's just fun! And maybe if you're single, you can find a table with a bunch of other single and available others to get to know better.","Jun 11, 2023",5.0
28,"Avoid Sundays... we had such a great time the other day that we came back to Hofbrauhaus on Sunday. What a mistake. It seems like the backup waiters work Sundays. They must draw the short straw. We had M. Sataric today and he was terrible. I know it was only his 4th day, but he mixed up a lot of orders: beers, food, you name it. He brought the wrong thing or nothing at all. And he argued about everything with us... and the table next to us. He also kept disappearing for lengthy periods. It was not crowded, yet service was very slow.","May 26, 2024",3.0
29,"This is one of the few places I've ever been that truly lives up to the hype. It's definitely a must see in Munich, plus the food and drinks are excellent and the service is top notch. Be sure to check out the outdoor beer garden for the full experience. We had a sausage platter, pretzels, and beer which is basically the Bavarian trifecta.","May 25, 2024",5.0
30,"I would say this place is a must. They have a MASSIVE beer hall with multiple levels, indoor, and outdoor seating. It is first come first serve and very busy. The beer is cold and delicious. For my main dish, I ordered the goulash and it was one of the best dishes I have had yet during my time in Germany. The service was okay as they are so busy. I would recommend ordering a large beer while you wait to order your food or to prepare to order everything ASAP to prevent spending too much time there. I came during the summer and it was very hot inside the beer hall, but outside was perfect.","Jun 30, 2023",4.0
31,"We recently visited Germany and knew we had to come to the original location! Hofbrauhaus is uniquely German, with the band, the food, the tables and the beer! This location is the original, so it is very large. There are multiple rooms and multiple levels. They do take reservations, but it is not needed. You can just walk in and find a seat.There is a greeter/hostess, but she is just there to answer questions, you basically seat yourself. The seating is very long wooden tables. You can sit with other parties if your group is smaller, so definitely be prepared, someone else might sit with you.The menu is in German, but they had an English version as well. We were able to find a table right away but took almost 10 minutes for someone to come over. It gave us more time to look at the menu.I ended up ordering the ( 1/2 Bavarian roast chicken - with homemade potato salad) *this was utter one of best German meals I've ever had. The chicken was succulent and well seasoned. The homemade potato salad was delicious as well. It had a nice tang to it. For drinks, I ordered a liter of the Munchner Weisse (wheat beer). It was crisp, cold, and awesome.One of my friends order the same meal and she love it as well. My wife ordered the (Roast pork with crackling - fresh from the oven -served with homemade dark beer gravy and a potato dumpling)* My wife said she loved the pork immensely. The dumpling was just ok, it wasn't her favorite. Another friend ordered the Four pieces of pork sausage - served with mustard and sauerkraut. Our last friend ordered the spätzle with cheese and fried onions and the cream of potato and vegetable soup. These were also very good. All of the food was actually really delicious.The only thing I was not a fan of was the pretzel. They had girls walking around selling very large pretzels and they were hard and dry. Not what I expected. And they did not have the sweet mustard that we are used to getting at Hofbrauhaus in the US. They also had a polka style band that played music.The energy is very loud and upbeat. It is a fun time. This is best for groups but not required. Anyone can have a fantastic time here. Don't forget to check out the gift shop on your way out and make sure to buy something to remember your experience. I was definitely thrilled to come here, and this was one of the best meals the group had during our trip.","Oct 16, 2023",4.0
32,"We have been to Hofbrauhaus many many times in the US. We recently visited Germany and knew we had to come to the original location! Hofbrauhaus is uniquely German, with the band, the food, the tables and the beer! This location is the original, so it is very large. There are multiple rooms and multiple levels. They do take reservations, but it is not needed. You can just walk in and find a seat. There is a greeter/hostess, but she is just there to answer questions, you basically seat yourself.  The seating is very long wooden tables. You can sit with other parties if your group is smaller, so definitely be prepared, someone else might sit with you. The menu is in German, but they had an English version as well. It is different than the locations in the US. I was expecting a menu I already knew but it was different. The only similar item was the pretzels, some sausages and the beer. We were able to find a table right away but took almost 10 minutes for someone to come over. She was extremely busy and had many many tables. My husband and I and another fried ordered the beer. The two guys got the liter size, and I chose the half liter size. Their beer is really delicious. I definitely enjoy it. For food, I ordered the crispy pork with crackling which was basically a giant crispy pork belly. It was served with gravy and a potato dumpling. The dumpling was just ok, not really my favorite, I should have ordered the spatzle instead, but the pork was delicious. Very good. MY husband and one of our friends ordered the 1/2 chicken which came with potato salad. It was very good as well, cooked really well and crispy on the outside. Another friend ordered the 4 different sausage plate which came with sauerkraut and then the last friend ordered the spätzle with cheese and fried onions and the cream of potato and vegetable soup. These were also very good. All of the food was actually really delicious. The only thing I was not a fan of was the pretzel. They had girls walking around selling very large pretzels and they were hard and dry. Not what I expected. And they did not have the sweet mustard that we are used to getting at Hofbrauhaus in the US. They also had a polka style band that played music. The energy is very loud and upbeat. It is a fun time. This is best for groups but not required. Anyone can have a fantastic time here. Don't forget to check out the gift shop on your way out and make sure to buy something to remember your experience. I was definitely thrilled to come here, and this was one of the best meals the group had during our trip.","Oct 12, 2023",5.0
33,"This is a must visit place. The history itself is impressive. Their food is classic and beer is good. Please understand that this place gets extremely busy and crowded very fast so finding a table can be challenging at times. Your best bet is to walk around and if you find reserved tables, check the time of the reservation. If the reservation is within two or three hours, take it. Bring your patience, the waiters work hard to keep the food and drinks going. If the pretzel lady is walking around, know that she only accepts cash. Do get their big pretzel though, they are fresh out of the oven and delicious. Remember that they follow the beer purity law so the beer might be different from what you're accustomed to from whatever country you're from. Their dark beer is not as dark as a porter or stout but it is good nonetheless. We had an excellent dinner. Everything was hot and delicious. Our waiter was courteous and did an excellent job. Also know that if you're paying with card, you'll have to go with the waiter to pay for your food. They don't bring you a bill unless you're paying with cash. Also remember to ask if the service fee is included in the bill. That's basically the tip. However, from what I understand, most if not all restaurants pay a living wage so tips are not required but certainly appreciated if good service was received","Dec 27, 2023",5.0
34,"I give the three stars primarily for what the restaurant stands for, not for our experience. Now this does need to be taken with a pinch of salt since we did visit during the busy season. However, our server was very short with us and clearly needing to go home for the day. We told her we were waiting for family to show up as we were ahead of them and she didn't think about what we told her and the table was split between two servers. That's not the biggest problem, our food didn't show up until those who came after us were almost done with their food! These were my first sausages of this trip and I must repeat this meal elsewhere because they were incredibly lackluster. It was nice to visit the location, experience this history, but this was surely a one and done for us.","Dec 14, 2023",3.0
35,"Short review: Good food, Good Beer, quintessential German experience? NO. Too many tourists - granted I'm one of them.Full review: Do not come here if you're timid you'll never get a table. It's literally a madhouse, you have to hunt for your table then pounce on one as soon as the butt cheeks clear 2 inches from the chairs. The food is good especially the kasespaetzle, the caramelized cheese takes it up a notch. Also the  four pork sausage with sauerkraut, (thats not too sour) very earthy savory, not as sweet as the other sausages I've had here. We also liked the half roasted chicken. You can skip the pretzels and suckling pig.The Hofbrauhaus original beer goes down smooth with substance -  very good actually. And the same for the radler - just the right amount of sweetness with no aftertaste. Service despite the busyness of the place wasn't bad.","May 23, 2023",4.0
36,We were a party of five and ordered different dishes and all were on the salty side.(I guess you will drink more beer).  With one exception the wurst was not salty.  The beers were okay following the purity laws established in the 1500's but not my favorite from other breweries.Service was great had good server who interacted with us; an exception in Germany.We had a reservation and were seated on the second floor in the booth with the rendition of Mozart on the wall.The ambiance was great; reflecting on the history of this place and the ompah band playing live. In short come for the history and ambiance.,"Dec 17, 2023",3.0
37,"I would say this is a tourist trap. Very generic beer garden food. So if you are looking for something tasty, don't come here.Ok ish beer. Good salad. Ok ish pig knuckles and white sausages. Very rude service and very loud environment with difficult to carry out a good convo.I'm ok with coming here once to just get the experience but will not come back again.","Sep 4, 2023",3.0
38,"It's a tourist trap.  You know it. They know it. Everyone knows it.  Walk in and you'll be guided to a table and sharing a large communal bench with groups from around the world.  My small group met some Australians and then two Brits living in the Cayman islands.  The hall was loud and the band played typical Bavarian music.  It's the closest you can come to Octoberfest when it's not Octoberfest.  The food is 30-50% more expensive than other places in the marienplatz.  The beer is also.  But that's what you pay for when you get here.  Just like anywhere in Germany, tipping is not required but here they will ask you for one because you're a foreigner.  As one of the Brits told me.  It might be a tourist trap, but when you're in Munich you have to spend one night at the hofbrauhaus.   I would definitely agree.  It's worth a visit!","Feb 9, 2023",4.0
39,It's the hofbrauhaus. A Munich icon. A must visit for any visitor to this great city. I have been there too many times to count and I have never been disappointed. The atmosphere is that of Oktoberfest with tons of beer HB of course and Bavarian feats and live music. Prices have increased over the past couple of years so expect to pay like any other restaurant in town. Service is not that great and I would normally deduct a start but can't do it for the HB!!,"Jul 29, 2023",5.0
40,"The food was decent and the beer was exactly what I hoped for. The place is crazy loud though. Not to sound like an old person complaining; I expected the Bavarian music and the place to be lively, but man it was so loud my Apple Watch kept warning me haha. If you're with a loud and boisterous party, you wouldn't even notice though.Service was more attentive than average, food was slow to arrive compared to beer, but I'm not complaining lol","Feb 18, 2024",4.0
41,Missed our connecting flight & had to stay overnight in Munich during Oktoberfest so we took an Uber so my husband & daughter could go to the oldest bar in Munich. It was very loud & crowded. The food was not that great & unfortunately we got a tired waiter. He said there was no salt nor soup. The beer was good. My previous visit a few years ago was better & it wasn't during Oktoberfest.,"Oct 11, 2023",3.0
42,"There is a musical ambiance appeal for sure. However, all else fails:: Service so terrible. Food so terrible. Like no joke. FOOD SO SO TERRIBLE. Not fresh. Pre-made. Heated in microwave or two seconds on a stove. Maybe. The beef cheeks. No good. The pork knuckle. So sad. The spätzle. So dry. The sausage. No taste. Just say no. Omg. Just do not come.","Oct 10, 2023",2.0
43,The ambiance was great but the quality of food was average. We had much better food in their branch in Berlin which is ironic since Munich is the original beer hall.,"Jun 2, 2024",4.0
44,"Service is fast!Extremely warm inside. Live music. Best to come when it is cold and rainy. Food tasted a bit salty. Live music is great. You first look for your own table, the. wave aserver and hope someone will come talk to you. We waiting over 10 + servers and finally someone comes! Price is cheap and food tasted fine! Cheaper than Christmas market or other restaurants. So many people inside.","Dec 24, 2022",3.0
45,"A definite MUST stop if you're in Munich. The food was great, the history behind it all is fascinating.Just be prepared for long wait times on being serviced!","Oct 17, 2023",5.0
46,"Came here once because I'd never been and the second time the very next day because it was that good. Highly recommend this place. Despite looking busy, find a spot at a table with others and take it all in. Food and atmosphere are top notch.","May 25, 2024",5.0
47,"Okay for beer, but it's a bit like a Chuckee Cheese for tourists - meaning it's gimmicky as hell, overcrowded, sticky floors, loud and with a band playing every few minutes, and service is fast as lightning in that the staff is overextended. No clear vegan options. A pretzel man comes by with offerings available for cash euros. The spot dates back to the 16th century so the architecture is gorgeous though there are disturbing speciesist, classist, and violent murals adorning the walls that I wish would be updated to reflect new, modern Germany. It's Bavarian state government owned which I think is to blame for the history washing - turns out this place is the beer hall of the Hitler beer hall speech. It would be really great if this was made clear to guests in a way that was respectful to the victims of the Nazi party and honored them rather than hiding this to maintain a joyful atmosphere. We felt pretty gross when we found out and wished there had been a spot carved out to pay respects to those murdered and acknowledge the atrocities. And perhaps some of the earnings can be donated to concentration camp survivors and families, or museums that maintain their stories and legacies. Context: Adolf Hitler announced the official program of the Nazi Party to a meeting of around 2,000 people at the Hofbräuhaus on 24 February 1920. At the time, he was propaganda chief of the party whilst the organisation was still relatively small. On 29 July 1921, he was elected Führer of the Nazi Party during a meeting at the Hofbräuhaus am Platzl.","Jun 23, 2023",2.0
48,"No visit to Munich is complete without an experience at the Hofbrauhaus! We came here for lunch on a Thursday and it was nearly at capacity, and this restaurant is huge!You seat yourself at a shared picnic table; be careful not to sit in reserved spots. The live Oompah band was in full swing, but nearly drowned out by the massive chatter from the many patrons.They have several beers to choose from and, of course, you have to get the 1 Litre stein! I wanted the Munich, veal sausages, but they were out of them, so I went with the grilled sausages and sauerkraut. Very average food, but hey, it's an iconic place and worthy of the unique experience.","Dec 7, 2022",3.0
49,Fun spot for a beer. We also got a GIANT pretzel but missed the photo.  Super cool and very busy. The food menu looks good but unfortunately we had already eaten.,"Jun 17, 2023",4.0
50,"I can only review the service because we left without receiving food. I made a reservation for my party of 4, weeks in advance. We were seated promptly but that's where the service ended. We waited almost an hour without receiving menus or anyone taking our drink or food order. Any attempt to wave down a server were ignored. I got up twice to ask the hostess and the server for help and they kept telling me that they are busy and they will take my order soon. When we finally left an hour after being seated with no service, the hostess was rude and unapologetic. I am so disappointed, as I was looking forward to this experience for weeks as a highlight of my trip to Germany.","Mar 31, 2024",1.0
51,"Beer- good, Food-lame, service- lammer, setting meh............and that's all I have to say about that.....","Mar 25, 2024",2.0
52,"It was nice to get a chance to visit during our stay.While planning our stay in Munich, I was reading the website which talked about making reservations, but there was no availability the whole time we were going to be in Munich so we did not plan on even trying. The good news is we did make it while on a small private city tour, walked right in. This was late afternoon. There is nothing better that a cold beer, well maybe two. The food was also good. This was my third pork shank of the trip. English menus and waiter made this stop easy. Great service.","Oct 22, 2022",4.0
